Key Title,Title/Programme,Contract Ref#,Main Genre,Main Producer,Language,Production Year,Duration,Contracting Status,Active?,HD Available,Producer Approval?,In Catalogue?,Agreement Start Date,Last License Start Date,Agreement End Date,Date Fully Delivered,Visible On Interface,Commission,Back End,Rights Outline,Producer Approval,Costs,Option Notes,General Notes,Product Memo,Reporting,Best Screener,Status
AB Negative,AB Negative,,Film,Press On Features Ltd,English,2013,1 x 90',,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,NOT SIGNED YET TERM: TERRITORY: World excl. UK and any existing sales (the latter TBC if any) RIGHTS: All,,,,,,,,Status 3
Absolute Truth (The),"Absolute Truth, The",,Film,"Bossa Entertainment, Inc",English,1996,1 x 96',,TRUE,FALSE,TRUE,FALSE,,01/01/1904 00:00,01/01/1904 00:00,,TRUE,,Acquisition,Worldwide subject to acquisition - Subject to acquisition,Acquisition,Subject to acquisition,,TV movie,,,,Status 3
Airborne,Airborne,,Film,Press On Features Ltd,English,2012,1 x 78',,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,NOT SIGNED YET TERM: TERRITORY: World excl. UK and any existing sales (the latter TBC if any) RIGHTS: All,,,,,,,,Status 3
Alice through the Looking Glass,Alice through the Looking Glass,F4001,Film,Bee Capital,English,1998,1 x 84',,TRUE,FALSE,FALSE,FALSE,11/01/2002 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,20%,,Worldwide subject to availabilities - All Pay TV rights - terrestrial / cable / satellite. All Free TV rights - terrestrial / cable / satellite. All Home Video Rights. All DVD / VCD and Laser Disc Rights and all other exploitation rights other than theatrical rights. Sold as per IAC avails: Germany (12.12.26),,"All costs (transmission, distribution and marketing materials) to be deducted. Indigo cannot recoup any costs in relation to markets/festivals, travel, hotels etc.",First Refusal on Future Series/Spin offs Not mentioned,still under IAC agreement eventhough we report to Baltic Media…,Refer to availabilities,twice yearly,Alice Through The Looking Glass https://vimeo.com/96570120 Password: Indigo2014,Status 3
All Men are Liars,All Men are Liars,F4056,Film,Arena Film Pty,English,1995,1 x 90',,TRUE,FALSE,TRUE,FALSE,18/12/2007 00:00,17/12/2009 00:00,17/12/2014 00:00,,TRUE,20% and 5% for marketing TX costs producers. Sell materials wherever possible.,,"Exclusive worldwide ex. Australia. Where there are licenses in place, these revert to Indigo on expiry. Free TV, Pay TV, CCTV, VOD, Inflight, DVD and Non-theatric. Broadband, mobile and wireless are not cleared – but should be discussed on a case by case basis.","Broadband, mobile and wireless technology - these rights must be cleared by producer and dealt with case by case.","Marketing expenses (inc. flyrs, brochures, ads, print, posters, images, web digitisation, market expenses) inc. in 5%. All costs for TX are producer’s MUST MAKE EVERY EFFORT TO SELL MATERIALS.",The term will be extended after reviewing sales results on expiry of initial term.,"Minimum Guarantee of US$14,880. 50% Due 6 months after sig. (18/06/08) 50% Due 18 months after sig. (18/06/09) – failure to do so will result in immediate termination. NB. Specific accounts for payments – c.f contract.",,45 days after each calendar quarter,All Men Are Liars https://vimeo.com/97209164 Password: Indigo2014,Status 3
Amber's Story,Amber's Story,,Film,"Bossa Entertainment, Inc",English,2006,1 x 86',,TRUE,FALSE,TRUE,,,,,,TRUE,Acquisition,,"As of 25.9.10 available territories: AUSTRIA, CHINA, ESTONIA, GERMAN EUROPE, INDIA, ITALIAN EUROPE JAMAICA, KOREA, LAOS",Acquisition,,,,,,,Status 3
Animal Instincts,Animal Instincts,,Film,Master Licensing,English,1992,1 x 94',,TRUE,FALSE,TRUE,,,01/01/1904 00:00,01/01/1904 00:00,,TRUE,,Acquisition,Worldwide subject to acquisition - Subject to acquisition,Acquisition,Indigo pays all costs,,,,,,Status 3
Animal Instincts,Animal Instincts II,,Film,Master Licensing,English,1993,1 x 96',,TRUE,FALSE,TRUE,,,01/01/1904 00:00,01/01/1904 00:00,,TRUE,,Acquisition,Worldwide subject to acquisition - Subject to acquisition,Acquisition,Indigo pays all costs,,,,,,Status 3
Animal Instincts,Animal Instincts III,,Film,Master Licensing,English,1996,1 x 96',,TRUE,FALSE,TRUE,,,01/01/1904 00:00,01/01/1904 00:00,,TRUE,,Acquisition,Worldwide subject to acquisition - Subject to acquisition,Acquisition,Indigo pays all costs,,,,,,Status 3
Anything Goes,Anything Goes,F4091 (Cerulean),Film,Mark Holdom,English,2012,1 x 98',DM signed,TRUE,TRUE,FALSE,FALSE,01/10/2014 00:00,30/09/2021 00:00,30/09/2021 00:00,,FALSE,50% incl Marketing AND Servicing,,"TERM: 7 yrs from delivery (no extension agreed so far) TERRITORY: WW excl. North America RIGHTS: Theatr, Non-Theatr, TV, Video, Digital, Merchandising, Ancillary",none mentioned at moment,All inclusive in commission,,E1 have rights in NAM. No theatrical releases in Canada.,,qtly,,Status 3
