Key Title,Title/Programme,Contract Ref#,Main Genre,Main Producer,Language,Production Year,Duration,Contracting Status,Active?,HD Available,Producer Approval?,In Catalogue?,Agreement Start Date,Last License Start Date,Agreement End Date,Date Fully Delivered,Visible On Interface,Commission,Back End,Rights Outline,Producer Approval,Costs,Option Notes,General Notes,Product Memo,Reporting,Best Screener,Status
Annabel's Kitchen,Annabel's Kitchen Series 01,A0005,Kids/Animation,Cupcake Productions Limited,English,2011,30 x 11',© Cupcake Productions (TBC),TRUE,TRUE,TRUE,FALSE,28/03/2012 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"25% except in USA, Canada, Australia, South Africa, Hong Kong and Middle East, Distribution Fee 15% (until FPSO Fees and M2 Fees are fully recouped which will revert to 15%). + 5% marketing (BUT see Reporting notes about deferral of Marketing Costs)",,"ALL LICENSES TO BE CONTRACTED BY PRODUCER AND NOT INDIGO/ALTAMAR. TERM: 1) 12 mths from sig, 2) further 5 yrs if FPSO recoups £62,000 in Yr1 but Distributor shall ensure that at least 50% of the M2 Fees are recouped within the first 12 (twelve) months of any such extension, 3) further extension to be neg. TERRITORY: WW excl. CITV UK rights. RIGHTS: All rights, but Digital non-excl. with Annabel K's App (wireless devices), Merchandising non-excl. with Prod with fee to be neg on deal-by-deal basis.","ALL LICENSES TO BE CONTRACTED BY PRODUCER AND NOT INDIGO/ALTAMAR. 1) Merchandising Rights, 2) sublicensing more than 5 yrs beyond Term",5% marketing to be deferred (see Reporting re: deferal details). Tx costs at cost to DISTRIBUTOR not Producer.,Distributor shall have right of first offer on a second series of the Programme(s).,Target had distribution rights previously - no sales reported.,None,"Distr agmt contracted between Producers and David Lawley - not Altamar or Indigo. Accounting: payment to go into the Collection Account. Allocation of net proceeds (after payment of Distributor’s Distribution fee): 1. Collection Agent’s Fees = 1% of receipts on ongoing and continuous basis; 2. Collection Agent’s Setting-Up Fee being a one-off £2,000 fee to be recouped from first receipts; 3. Thereafter FPSO shall recoup its entitlement being £50,000 principal + 20% premium + £2,000 additional fees – totalling £62,000. 4. Once FPSO has recouped Distributor claims its deferred MarkCost to date. 5. Thereafter M2 shall recoup first £65,000. 6. Thereafter Distributor recoups deferred MarkCost to date. 7. M2 shall recoup further £65,000. 8. Distributor recoups deferred MarkCost to date. 9. M2 shall recoup balance (total recoupment = £187,500). 10. Distributor recoups deferred MarkCost to date + 5% on sales from that point forwards.",Annabel's Kitchen https://vimeo.com/91502761 Password: Indigofilm201§4,Status 3
Biker Mice from Mars,Biker Mice from Mars Series 01,,Kids/Animation,Criterion,English,1993,65 x 22',,TRUE,FALSE,TRUE,FALSE,24/01/2007 00:00,23/01/2012 00:00,23/01/2017 00:00,,TRUE,30%,,"TERRITORY: Malaysia, Philippines, Thailand, North & South Korea, Indonesia, Japan, Hong Kong, China, Mongolia, Laos, Vietnam, Cambodia & Burma RIGHTS: All TV and Video",Prod approval required on all deals,,We have first option on all new episodes of Series 2.,Series produced between Jan 1992 and Dec 1995,,Quarterly,,Status 3
Biker Mice from Mars,Biker Mice from Mars Series 02,,Kids/Animation,Criterion,English,2006,28 x 22',,TRUE,FALSE,TRUE,FALSE,24/01/2007 00:00,23/01/2012 00:00,23/01/2017 00:00,,TRUE,30%,,"TERRITORY: Azerbaijan, Kazakhstan, Turkmenistan, Uzbekistan, Afghanistan, Pakistan, Tajikistan, Kyrgyzstan, India, Bhutan, Maldives, China, Macao, Palau, Sri Lanka, Nepal, Bangladesh, Mongolia, Indonesia, Burma, Thailand, Malaysia, Laos, Cambodia, Vietnam, Singapore, Brunei, Philippines, Hong Kong, Taiwan, South and North Korea, Papua New Guinea, Micronesia, Guam & Japan RIGHTS: All TV and Video RIGHTS: All TV and Video",Prod approval required on all deals,,We have first option on all new episodes of Series 2.,,,Quarterly,,Status 3
Butt Ugly Martians,Butt Ugly Martians Series 01,,Kids/Animation,Think plc,English,2001,26 x 26',,TRUE,FALSE,FALSE,,28/09/2006 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"From 28.09.07 to pay on ALL titles (except Jellies) to Mark Hardy 40%, 60% to Indigo (prior to this date 100% to Indigo) with a total aggregate of £100,000 only. As of 23.1.09 £100k not reached yet. Thereafter, 100% to Indigo.",,TERRITORY: Worldwide RIGHTS: All excl Theatrical,,Indigo pays all costs,,Possible worldwide universal video deal.,,Quarterly 45 days after 31 March / 30 June / 30 September and 31 December,,Status 3
Freddie the Frog,Freddie the Frog,,Kids/Animation,"Chelsea Film Productions, Lawless",English,1992,1 x 87',,TRUE,FALSE,FALSE,,26/10/2006 00:00,31/12/2050 00:00,31/12/2050 00:00,,TRUE,30%,,TERRITORY: World excluding Benelux / Italy / Israel RIGHTS: TV & Video,,All costs paid by Indigo out of cmsn,No First Refusal on Future Series/Spin offs,,"See previous sales in contract file - AUG 08, CANT FIND THE FILE..",Quarterly 45 days after 31 March / 30 June / 30 September / 31 December,Freddie the Frog https://vimeo.com/96699174 Password: 2014,Status 3
Jellies (The),Jellies (The) - Christmas Special,,Kids/Animation,Indigo Film & Television Ltd,English,2000,1 x 25',,TRUE,FALSE,FALSE,,28/09/2006 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"As of 19.10.09 Indigo reach settlement where 10% to Great Ormond Street / 90% to Indigo. From 28.09.07 to pay for Jellies only where 40% goes to Think (Mark Hardy), 10% to Great Ormond Street and 50% to Indigo. (prior to this date 100% to Indigo) with a total aggregate of £100,000 only.",,TERRITORY: Worldwide RIGHTS: All excl Theatrical,,Indigo pays all costs,,,,Quarterly 45 days after 31 March / 30 June / 30 September and 31 December,TBC,Status 3
Jellies (The),Jellies (The) Series 01,,Kids/Animation,Indigo Film & Television Ltd,English,2000,"78 x 5' (English), 78 x 5' (Latin Spanish)",,TRUE,FALSE,FALSE,,28/09/2006 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"As of 19.10.09 Indigo reach settlement where 10% to Great Ormond Street / 90% to Indigo. From 28.09.07 to pay for Jellies only where 40% goes to Think (Mark Hardy), 10% to Great Ormond Street and 50% to Indigo. (prior to this date 100% to Indigo) with a total aggregate of £100,000 only.",,TERRITORY: Worldwide RIGHTS: All excl Theatrical,,Indigo pays all costs,,Aired in 49 countries including France (Fox Kids France) / Germany (RTL Disney) / Netherlands (Kindernet) / Spain / US (Fox Family Channel) and Japan. An extensive licensing programme was rolled out worldwide. NB. Video rights were sold to China (CiTVC) - confirmed through Xian Hong of CorpCo - but company went bust. No TV sold.,,Quarterly 45 days after 31 March / 30 June / 30 September and 31 December,,Status 3
Jellies (The),Jellies (The) Series 02,,Kids/Animation,Indigo Film & Television Ltd,English,2000,40 x 10',,TRUE,FALSE,FALSE,,28/09/2006 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"As of 19.10.09 Indigo reach settlement where 10% to Great Ormond Street / 90% to Indigo. From 28.09.07 to pay for Jellies only where 40% goes to Think (Mark Hardy), 10% to Great Ormond Street and 50% to Indigo. (prior to this date 100% to Indigo) with a total aggregate of £100,000 only.",,TERRITORY: Worldwide RIGHTS: All excl Theatrical,,Indigo pays all costs,,,,Quarterly 45 days after 31 March / 30 June / 30 September and 31 December,Jellies Se2 Ep Night https://vimeo.com/95860509 Password: Indigo2014,Status 3
Jellies (The),Jellies (The) Series 03,,Kids/Animation,Indigo Film & Television Ltd,English,2000,40 x 5',,TRUE,FALSE,FALSE,,28/09/2006 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,"As of 19.10.09 Indigo reach settlement where 10% to Great Ormond Street / 90% to Indigo. From 28.09.07 to pay for Jellies only where 40% goes to Think (Mark Hardy), 10% to Great Ormond Street and 50% to Indigo. (prior to this date 100% to Indigo) with a total aggregate of £100,000 only.",,TERRITORY: Worldwide RIGHTS: All excl Theatrical,,Indigo pays all costs,,,,Quarterly 45 days after 31 March / 30 June / 30 September and 31 December,TBC,Status 3
Magic House,Magic House,,Kids/Animation,Criterion,English,1995,55 x 10',,TRUE,FALSE,TRUE,,25/07/2002 00:00,24/01/2018 00:00,24/01/2013 00:00,,TRUE,25%. Criterion invoice us for 5% as consultancy. Indigo receives 5% commission on any deals agreed by Criterion but papered by Indigo,,TERRITORY: World RIGHTS: All TV and DVD,Prod approval required on all deals,5% costs fixed,,12 comics and 24 books have been published.,No,Quarterly 45 days after 31 March / 30 June / 30 September / 31 December,,Status 3
