Key Title,Title/Programme,Contract Ref#,Main Genre,Main Producer,Language,Production Year,Duration,Contracting Status,Active?,HD Available,Producer Approval?,In Catalogue?,Agreement Start Date,Last License Start Date,Agreement End Date,Date Fully Delivered,Visible On Interface,Commission,Back End,Rights Outline,Producer Approval,Costs,Option Notes,General Notes,Product Memo,Reporting,Best Screener,Status
CI5: The New Professionals,CI5: The New Professionals,A0004,Drama Series,"Old Professionals Ltd, The",English,1998,13 x 52',,TRUE,FALSE,TRUE,FALSE,09/09/2010 00:00,08/09/2017 00:00,08/09/2022 00:00,,FALSE,25% (David Wickes gets 1.5% from our commission - see details in Reporting below),,"New supplement letter signed (19.7.12) TERM: 7 yrs from delivery (DATE TO BE CONFIRMED) w/ break after 3 yrs. Renewal to be negotiated. TERRITORY: WW (expired sales Telearte Argentina, Seven Network Australia, VRT Flemish Belgium, Botswana, Bulgarian National TV, Ceska Televise/Film Export Czech Republic/Slovakia, SBS Denmark Sweden Slovenia, Channel 4 Finland, M6 France, Degato Germany, Satellite TV Hong Kong, PBS Malta, TV3 New Zealand, TV3 Ireland, Creative Media Romania, Roxx CIS, SABC South Africa, BSkyB UK). RIGHTS: All TV, Video, New Media, Non-theatric.","1) In final year of Term (response 15 days). 2) if fees for sub-agents/sub-distributors are not contained withing Indigo's commission, 3) E&O insurance is required.","Marketing inclusive. But we can deduct US$7,500 in first position from Gross Receipts. Tx costs at cost to Producer.",To renew agreement. No option granted for future series/spin-offs etc.,Budget: US$10million,"Expired sales and start dates: ARGENTINA, 1999/TELEARTE AUSTRALIA 1998/ 7 NETWORK BELGIUM 98 VRT BOTSWANA 98 BULGARIA 98 BULGARIN NATIONAL TV CHECH REPUBLIC98 CASKA TELVISE/FILM EXPORT DENMARK/SWEDEN/SLOVENIA98 SBS SA FINLAND98 CHANNEL4 FRANCE09 M6/METROPOLE TV GERMANY99 DEGATO FILM HONK KONG98 SATELLITE TV MALTA2000 PUBLIC BROADCASTING NEW ZEALAND98 TV3 NETWORK SERVICES IRELAND 98 TV3 TELEVISION NETWORK ROMANIA 98 CREATIVE MEDIA RUSSIA 99 ROXX ENTERTAINMENT SLOVAKIA2001 FILM EXPORT HOME VIDEO SRO SOUTH AFRICA 2002 SABC BSKYB 99",3% of gross to be paid to David Wickes which is to be shared 50/50 between Alt/Old Professionals. Quarterly,,Status 3
"Citadel, The","Citadel, The",F4064,Drama Series,Victory Film Production & Distribution GmbH,English,2002,4 x 90',signed,TRUE,FALSE,TRUE,FALSE,01/10/2012 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,25%,,"NB: Contracts to be licensed under Victory with Indigo acting as Sales Agent. TERM: 3 yrs (1st Term), with automatic renewal of 2 yrly periods but only if achieve US$300,000 gross in 1st Term. 6 mth notice to terminate in Extended Term but Indigo has 3 months sell-off period. TERRITORY: WW. Check Product Memo for existing sales but when comes out of license we are free to relicence - territory non-excl. with Victory. RIGHTS: Non-Theatric, TV, Video, Digital - rights non-excl. with Victory.",All deals require approval. Contracts to licensed under Victory and money to be paid into Victory's account. 5 days to respond otherwise deal granted.,"Marketing incl, TX Prod cost. (Victory is servicing all deals)",,"Budget: €10,084,721",See list of previous sales in TITLES/FILM/VICTORY CATALOGUE folder.,No reporting necessary,Citadel ep 1 https://vimeo.com/97319118 Password: Indigo2014 Citadel Ep 2 https://vimeo.com/97408080 Password: Indigo2014 Citadel Ep 3 https://vimeo.com/97431572 Password: Indigo2014 Citadel Ep 4 https://vimeo.com/97506000 Password: Indigo2014,Status 3
Dangerous Liaisons (aka Les Liaisons Dangereuses),Dangerous Liaisons,F4046,Drama Series,Future Film Group,English and French,2003,2 x 90',,TRUE,FALSE,TRUE,FALSE,29/03/2006 00:00,28/03/2011 00:00,27/03/2016 00:00,,TRUE,25%,yes to use any translation / dubbing / sub titling versions,"Either party may terminate after three years but 6 month written notice Great Britain including Northern Ireland and the Republic of Ireland / Channel Islands / Isle of Man , - Non Theatrical / Free Television Rights / Pay Television Rights / Videogram Rights",yes to use any translation / dubbing / sub titling versions,Marketing expenses and tx costs to be deducted,First Refusal on Future Series/Spin offs,Released on DVD in UK French version only (by TF1 2003). US DVD release by Fox Lodestar. Budget: GB£15million,,Quarterly 45 days after 31 March / 30 June / 30 September / 31 December,TBC,Status 3
Dark Knight,Dark Knight Series 01,,Drama Series,Digital Rights Group (formerly Portman Media Assets),English,2001,13 x 60',,TRUE,FALSE,FALSE,,01/04/2001 00:00,01/01/1904 00:00,31/05/2015 00:00,,TRUE,14.3.09: Kirsty conf commission should now be 100%.,,Bangladesh / Bhutan / Brunei / Cambodia / Cook Islands / East Timor / French Polynewsia / Guam / Hong Kong / India / Indonesia / Laos / Macau / Malaysia / Maldives / Mauritius / New Caledonia / Niue / North Korea / Palau / Soloman Islands / South Korea / Rep of China / Pakistan / Papua New Guinea / Philipines / Singapore / Sri Lanka / Taiwan / Thailand / Vietnam / Vanawatu / Wallace and Futuna - Cable Free TV rights / Cable Pay TV Rights / Free TV rights / Pay TV rights / Satellite Free TV rights / Satellite Pay TV rights / Terrestrial Free TV rights / Terrestrial Pay TV rights / Video on Deman Rights / Home Video Rights and Internet Rights providing tx are secure,,indigo to pay all costs,First Refusal on Future Series/Spin offs Not mentioned,Aired on Channel 5 in the UK. 'Think Buffy with more medieval magic' Daily Mail,,,ep 9 Deadly Assassin,Status 3
Dark Knight,Dark Knight Series 02,,Drama Series,Digital Rights Group (formerly Portman Media Assets),English,2001,13 x 60',,TRUE,FALSE,FALSE,,01/04/2001 00:00,01/01/1904 00:00,31/05/2015 00:00,,TRUE,14.3.09: Kirsty conf commission should now be 100%.,,Bangladesh / Bhutan / Brunei / Cambodia / Cook Islands / East Timor / French Polynewsia / Guam / Hong Kong / India / Indonesia / Laos / Macau / Malaysia / Maldives / Mauritius / New Caledonia / Niue / North Korea / Palau / Soloman Islands / South Korea / Rep of China / Pakistan / Papua New Guinea / Philipines / Singapore / Sri Lanka / Taiwan / Thailand / Vietnam / Vanawatu / Wallace and Futuna - Cable Free TV rights / Cable Pay TV Rights / Free TV rights / Pay TV rights / Satellite Free TV rights / Satellite Pay TV rights / Terrestrial Free TV rights / Terrestrial Pay TV rights / Video on Deman Rights / Home Video Rights and Internet Rights providing tx are secure,,indigo to pay all costs,First Refusal on Future Series/Spin offs Not mentioned,Aired on Channel 5 in the UK. 'Think Buffy with more medieval magic' Daily Mail,,,ep 1 Boneman and 2 promos,Status 3
Diamond Hunters,Diamond Hunters,F4064,Drama Series,Victory Film Production & Distribution GmbH,English,2001,"1 x 100' (Film) (English), 1 x 100' (Film) (French), 1 x 100' (Film) (Italian), 2 x 90' (Mini-series) (English)",signed,TRUE,FALSE,TRUE,FALSE,01/10/2012 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,25%,,"NB: Contracts to be licensed under Victory with Indigo acting as Sales Agent. TERM: 3 yrs (1st Term), with automatic renewal of 2 yrly periods but only if achieve US$300,000 gross in 1st Term. 6 mth notice to terminate in Extended Term but Indigo has 3 months sell-off period. TERRITORY: WW excl. Spain, Andorra, German spk Europe. Check Product Memo for existing sales but when comes out of license we are free to relicence - territory non-excl. with Victory. RIGHTS: Non-Theatric, TV, Video, Digital - rights non-excl. with Victory.",All deals require approval. Contracts to licensed under Victory and money to be paid into Victory's account. 5 days to respond otherwise deal granted.,"Marketing incl, TX Prod cost. (Victory is servicing all deals)",,"Budget: €11,555,196.50",See list of previous sales in TITLES/FILM/VICTORY CATALOGUE folder.,No reporting necessary,,Status 3
DTLA (Downtown Los Angeles),DTLA (Downtown Los Angeles),A0084,Drama Series,Larry Kennar Entertainment,English,2012,1 x 60' & 7 x 30',,TRUE,FALSE,FALSE,FALSE,13/06/2013 00:00,12/06/2014 00:00,31/12/2099 00:00,,TRUE,30%,,"(START DATE FROM DELIVERY - BELOW DATE IS SIGNATURE DATE) TERM: 12 months from delivery, further 5 year, subject to performance, to be neg good faith. TERRITORY/RIGHTS: Television: Exclusive World excluding North America, Benelux Pay TV (Flemish/Dutch only), Sweden Pay TV. Digital: North America: Non-exclusive with Producer (with iTunes reserved by Producer). Rest of World (ROW): Non-exclusive against OutTV’s world SVOD release. Notwithstanding Digital in ROW is granted to Distributor on the condition of there being a broadcast license in that territory first. Video: Exclusive World, but specifically excluding TLA Video. It is further agreed that Video rights shall revert to Producer if Distributor fails to secure a Video licence within the Initial Term. Non-Theatric (including but not limited to hospitals, educational establishments, prisons, churches, libraries, hotels, clubs, military bases, businesses, oil rigs, marine and industrial institutions, coaches, trains, ships and/or aircraft (which for territorial purposes shall be deemed to be resident in the country of their flag)): Exclusive World.",Not yet but probably need consultation in first year at least.,Marketing: £5k recoupable from Gross Receipts. £3k per annum thereafter (if term is extended). TX costs: deductible from Gross Receipts.,"On movies, subsequent series, TV specials",,"Budget: US$200,000",Qtrly,,Status 3
East of Everything,East of Everything Series 01,F4068,Drama Series,East of Everything 2 Pty Ltd,English,2008,6 x 60',,TRUE,FALSE,TRUE,FALSE,06/03/2009 00:00,05/03/2019 00:00,05/03/2019 00:00,,TRUE,"30% all rights excl. Merchandising & Collecting Society; 50% Merchandising 10% Collecting Society' + 5% Gross Receipts for Distribution Costs cap + can recoup Marketing Costs as defined in Costs below. Gross receipt = revenue actually received net of withholding tax or other applicable taxed There is an MG of AUS$260,000 (across both series): (a) AUD$18,200 payable on signature of this Agreement; (b) AUD$72,800 payable 60 days after delivery and technical acceptance of Series 2 of the Production; (c) AUD$91,000 payable 12 months after delivery and technical acceptance of Series 2 of the Production; and (d) once the ABC has received an amount equal to AUD$182,000 from Indigo (whether from the Indigo Distribution Guarantee or Net Receipts), AUD$78,000 payable within 3 months provided that if Indigo has not recouped any part of the Indigo Distribution Guarantee paid under paragraph (a) - (c) above then Indigo shall be entitled to recoup such amounts against Net Receipts in accordance with clause 5.2(b) and 5.3(b) before paying this instalment of the Indigo Distribution Guarantee.",,"Worldwide excluding Aus/NZ - all rights (excl. Theatrical) incl. Transport/Hotel, Collecting Society Rights, Ancillary (incl. Video, Merchandising, Mobile, Non-Theatric, Online, Publishing, Soundtrack, Spoken Word), All TV incl. on demand/PPV.","Prior approval in major territories: a) the Territory as one territory (i.e. licensing world); b) Europe as one territory; c) Scandinavia as one territory; d) France; e) Germany; f) Japan; g) Spain; h) North America as one territory, i) USA, j) UK.","DISTRIBUTION COSTS = 5% of gross receipts (included but not limited to shipping, air freight, customs and postage costs, duplication of video tapes and/or film prints, audition cassettes, M&E tracks if required and other costs necessary to permit distribution (but excluding administrative overheads incurred by in-house employees and legal expenses incurred by in-house lawyers). MARKETING COSTS = all publicity and advertising costs which have been granted prior approval by the Producer, costs incurred in the launch of the Production (likely to include but not limited to publicity and advertising, ongoing catalogue costs and collateral marketing) and the costs incurred to produce foreign language versions of the Production where such versions have been produced at Indigo’s expense.",Option to extend term but if not recouped MG terms will automatically renew. No mention on option for future series/spinoffs.,Delivery: 1st series - late April 2008 / 2nd series - 1st April 09 11.05.09 Fiona confirmed technical acceptance of S2. 1st ep premieres 30th March @ 8.30pm on ABC.,None,"30 days after end of March, June, September, December during first 2 years, thereafter 6 monthly and within 60 days from such date. ABC to be copied on reports until MG is recouped. Thereafter they aren't required to be on report.",Ep 3 & 4,Status 3
East of Everything,East of Everything Series 02,F4068,Drama Series,East of Everything 2 Pty Ltd,English,2009,7 x 60',,TRUE,FALSE,TRUE,FALSE,06/03/2009 00:00,05/03/2019 00:00,05/03/2019 00:00,,TRUE,"30% all rights excl. Merchandising & Collecting Society; 50% Merchandising 10% Collecting Society' + 5% Gross Receipts for Distribution Costs cap + can recoup Marketing Costs as defined in Costs below. Gross receipt = revenue actually received net of withholding tax or other applicable taxed There is an MG of AUS$260,000 (across both series): (a) AUD$18,200 payable on signature of this Agreement; (b) AUD$72,800 payable 60 days after delivery and technical acceptance of Series 2 of the Production; (c) AUD$91,000 payable 12 months after delivery and technical acceptance of Series 2 of the Production; and (d) once the ABC has received an amount equal to AUD$182,000 from Indigo (whether from the Indigo Distribution Guarantee or Net Receipts), AUD$78,000 payable within 3 months provided that if Indigo has not recouped any part of the Indigo Distribution Guarantee paid under paragraph (a) - (c) above then Indigo shall be entitled to recoup such amounts against Net Receipts in accordance with clause 5.2(b) and 5.3(b) before paying this instalment of the Indigo Distribution Guarantee.",,"Worldwide excluding Aus/NZ - all rights (excl. Theatrical) incl. Transport/Hotel, Collecting Society Rights, Ancillary (incl. Video, Merchandising, Mobile, Non-Theatric, Online, Publishing, Soundtrack, Spoken Word), All TV incl. on demand/PPV.","Prior approval in major territories: a) the Territory as one territory (i.e. licensing world); b) Europe as one territory; c) Scandinavia as one territory; d) France; e) Germany; f) Japan; g) Spain; h) North America as one territory, i) USA, j) UK.","DISTRIBUTION COSTS = 5% of gross receipts (included but not limited to shipping, air freight, customs and postage costs, duplication of video tapes and/or film prints, audition cassettes, M&E tracks if required and other costs necessary to permit distribution (but excluding administrative overheads incurred by in-house employees and legal expenses incurred by in-house lawyers). MARKETING COSTS = all publicity and advertising costs which have been granted prior approval by the Producer, costs incurred in the launch of the Production (likely to include but not limited to publicity and advertising, ongoing catalogue costs and collateral marketing) and the costs incurred to produce foreign language versions of the Production where such versions have been produced at Indigo’s expense.",Option to extend term but if not recouped MG terms will automatically renew. No mention on option for future series/spinoffs.,Delivery: 1st series - late April 2008 / 2nd series - 1st April 09. 11.05.09 Fiona confirmed technical acceptance of S2. 1st ep premieres 30th March @ 8.30pm on ABC.,None,"30 days after end of March, June, September, December during first 2 years, thereafter 6 monthly and within 60 days from such date. ABC to be copied on reports until MG is recouped. Thereafter they aren't required to be on report.",Ep 7 (ep 1 of series 2) & ep 10 (ep 4 of series 2),Status 3
Encantado,Encantado,F4064,Drama Series,Victory Film Production & Distribution GmbH,Italian,2002,"1 x 140' (Film), 2 x 100' (Mini-series)",signed,TRUE,FALSE,TRUE,FALSE,01/10/2012 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,25%,,"NB: Contracts to be licensed under Victory with Indigo acting as Sales Agent. TERM: 3 yrs (1st Term), with automatic renewal of 2 yrly periods but only if achieve US$300,000 gross in 1st Term. 6 mth notice to terminate in Extended Term but Indigo has 3 months sell-off period. TERRITORY: WW excl. Italian Europe. Check Product Memo for existing sales but when comes out of license we are free to relicence - territory non-excl. with Victory. RIGHTS: Non-Theatric, TV, Video, Digital - rights non-excl. with Victory.",All deals require approval. Contracts to licensed under Victory and money to be paid into Victory's account. 5 days to respond otherwise deal granted.,"Marketing incl, TX Prod cost. (Victory is servicing all deals)",,"Budget: €1,363,615 Released theatrically in Italy.",See list of previous sales in TITLES/FILM/VICTORY CATALOGUE folder.,No reporting necessary,,Status 3
