Key Title,Title/Programme,Contract Ref#,Main Genre,Main Producer,Language,Production Year,Duration,Contracting Status,Active?,HD Available,Producer Approval?,In Catalogue?,Agreement Start Date,Last License Start Date,Agreement End Date,Date Fully Delivered,Visible On Interface,Commission,Back End,Rights Outline,Producer Approval,Costs,Option Notes,General Notes,Product Memo,Reporting,Best Screener,Status
3 Minute Update,3 Minute Update,,Factual,,English,2014,,,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,,,,,,,,,,,Status 3
99% Cannibal,99% Cannibal,A0066,Factual,Filmjungle.eu,English,2013,1 x 52',signed,TRUE,TRUE,TRUE,FALSE,05/10/2012 00:00,31/12/2099 00:00,31/12/2099 00:00,,,Presale Term: 25% with 15% deferred until finance raised and recoupable in the first position by Distributor during the Secondary Term. Secondary Term and Co-Production Term (if applicable): 25% + 5% marketing capped at £5k (anything above upon Prod approval),"Once fully financed where Dist contributes to financing parties will enter into a co-pro agreement. 1) ownership in perpetuity. 2) Distributor will share in the back end of the programme pro-rata'd at the percentage of financing brought by Distributor in order to complete the Budget through presales or other means, to a maximum of 50% (fifty percent).","PRE-SALE TERM: 6 mths from receipt agreed marketing material (below date Friday b4 MIPCOM). May be extended by 6 mthly periods to be agreed by both parties. POST SALE TERM: Upon fully financed and 5 yrs from full delivery, with break at 3 yrs with 6 mths notice. Rolling 2yrly periods with 6 mths notice. (Sub-License 7 yrs beyond end term) TERRITORY: World RIGHTS: Th, Non-Th, TV, Video, Digital, Anc, Merch",On Marketing costs exceeding £5k during Term.,5% marketing deductable from Gross but capped at £5k (anything above upon Prod approval). Tx costs deductable.,"On sequels, offshoots etc.",Budget: €60k-100k,,"From sig of Agr until 12 months after delivery of all Materials at quarterly intervals, and thereafter biannual",,Status 3
Against The Odds,Against The Odds,D0142,Factual,6105289 Canada Inc,English,2004,1 x 44',,TRUE,FALSE,TRUE,FALSE,23/02/2007 00:00,22/02/2012 00:00,22/02/2017 00:00,,TRUE,35%,,License start on delivery of materials (above date when materials sent to Spektrum 06-1014-EC). Either party may terminate after 3 years. Worldwide - Free TV / Pay TV rights only.,If sub-license exceeds 5 years after the end of Indigo's rights,Transmission materials and shipping costs to be paid by producer. Marketing costs included in commission.,First Refusal on Future Series/Spin offs,,No,"Quarterly 45 days after 28 Feb / 31 May / 31 August / 30 November in first year, thereafter quarterly when monies received.",,Status 3
Air Transport Auxiliary,Air Transport Auxiliary,D0221,Factual,Fact Not Fiction Films,English,2011,1 x 52',signed,TRUE,FALSE,FALSE,FALSE,05/02/2014 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,30%,,"TERM: 5 years from sig with a break at 3 years, thereafter rolling 12 monthly periods. TERRITORY: WW (see Product Memo for detail of license with UKTV) RIGHTS: Theatrical, Non-Theatrical, TV, Video, Digital, Ancillary, Merchandising. NB: DFT Enterprises (sister company of Producer) has right to sell the titles via physical Discs online on its website but we can sell WW (UK of course on non-excl. basis)",,Marketing incl. Tx deductable.,,,Previous sales: UKTV - UK/Eire - All TV - exp. 31.12.16,From signature until 36 months after delivery of all materials - every quarter. Thereafter every 6 months.,,Status 3
"Altitude, Alcohol & Adultery","Altitude, Alcohol & Adultery",D0060,Factual,Happy Valley Films,English,1987,1 x 50',,TRUE,FALSE,TRUE,FALSE,15/05/2001 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,10% US Network / 30% all other including late night network and syndication in US and PBS / 50% non-theatric / educational,,Initially to 14-May-03 automatically renewable for consecutive periods of one year unless terminated by 3 month written notice. World excluding UK - All whether known now or herafter including but not limited to broadcast TV / cable / satellite / home video and all non-theatric and educational uses. All other rights need prior approval from producer.,approval required on CD-ROM / CDi Rights and all other not granted as above (for example New Media Rights / download rights). Please ensure client has sufficient protection rights in the Territories licensed (due to previous bad piracy experience). No response will be considered as acceptance after 3 working days.,TX material paid by producer. Marketing costs capped at 5% of gross sales. Producer to pay for marketing campaign after prior consent.,First Refusal on Future Series/Spin offs Not mentioned,With Greta Scacchi,look at previous sales attached to contract for second run info,Quarterly 30 days after 31 March / 30 June / 30 September / 31 December,,Status 3
American Gun Dog,American Gun Dog Series 01,D0167,Factual,"Fischer Productions, LLC",English,2005,6 x 30',,TRUE,FALSE,TRUE,FALSE,24/01/2008 00:00,23/01/2013 00:00,23/01/2018 00:00,,TRUE,37.5% with 10% of the 37.5% to be paid to Raleigh Werking,,"TERRITORY: Worldwide excluding USA and its possessions. RIGHTS: NON-EXCLUSIVE Non-theatrical, Free TV, Pay TV, Videogram & New Media Rights - provided any grant of any forms of downloading is encrypted and will not allow unlawful copying. NB: Distributor’s rights herein shall be non-exclusive with respect to the rights Producer has already granted or agrees to grant to ESPN and The Outdoor Channel. In addition, the Prod retains the right to exploit the Programmes via DVD and home video and via the internet through its own distribution channels.","Prior to agreeing license Indigo is to supply copies of the agreements for Producer’s approval, said approval not to be unreasonably withheld. Sub-Licensing up to five years beyond the Term provided said broadcaster has already been airing the Programme during at least one year of the Term.","Marketing expenses (including but not limited to flyers, brochures, advertising, print materials, posters, images, web digitisation, reasonable market expenses) and distribution costs (including but not limited to screening cassettes, promotional material and couriers) are included in the Distribution Fee. All actual and direct costs paid by Distributor relating to servicing agreements with licensees (but for the avoidance of doubt, not license or sub distribution fees themselves) (including but not limited to festival registration fees, transmission materials, duplication, shipping costs, insurance and scripts and transparencies) will be deducted from Gross Receipts unless paid for by Broadcaster or Licensee.",First refusal paragraph deleted - not granted.,"Producer can terminate agreement if Distributor has not secured $50,000 (across Offshore, Wanna Go Fishing, American Gun Dog) by 23rd Jan 2009.",Season 3 of the Prog (not in dist agreement) - available WW Inc Europe but excl USA (Nick's e 30.4.08),Quarterly - 45 days after each calendar quarter.,AmericanGunDogSeries01 ep1 mov https://vimeo.com/95101685 Password: Indigo2014 American Gun Dog Se1 Ep4 https://vimeo.com/103991449 Password: Indigo2014,Status 3
American Gun Dog,American Gun Dog Series 02,D0167,Factual,"Fischer Productions, LLC",English,2006,12 x 30',,TRUE,FALSE,TRUE,FALSE,24/01/2008 00:00,23/01/2013 00:00,23/01/2018 00:00,,TRUE,37.5% with 10% of the 37.5% to be paid to Raleigh Werking,,"TERRITORY: Worldwide excluding USA and its possessions. RIGHTS: NON-EXCLUSIVE Non-theatrical, Free TV, Pay TV, Videogram & New Media Rights - provided any grant of any forms of downloading is encrypted and will not allow unlawful copying. NB: Distributor’s rights herein shall be non-exclusive with respect to the rights Producer has already granted or agrees to grant to ESPN and The Outdoor Channel. In addition, the Prod retains the right to exploit the Programmes via DVD and home video and via the internet through its own distribution channels.","Prior to agreeing license Indigo is to supply copies of the agreements for Producer’s approval, said approval not to be unreasonably withheld. Sub-Licensing up to five years beyond the Term provided said broadcaster has already been airing the Programme during at least one year of the Term.","Marketing expenses (including but not limited to flyers, brochures, advertising, print materials, posters, images, web digitisation, reasonable market expenses) and distribution costs (including but not limited to screening cassettes, promotional material and couriers) are included in the Distribution Fee. All actual and direct costs paid by Distributor relating to servicing agreements with licensees (but for the avoidance of doubt, not license or sub distribution fees themselves) (including but not limited to festival registration fees, transmission materials, duplication, shipping costs, insurance and scripts and transparencies) will be deducted from Gross Receipts unless paid for by Broadcaster or Licensee.",First refusal paragraph deleted - not granted.,"Prod can terminate agreement if Distributor has not secured $50,000 (across Offshore, Wanna Go Fishing, American Gun Dog) by 23rd Jan 2009. 24-5-12 - DO NOT HAVE MATERIALS IN LONDON LAB.",Season 3 of the prog (not in dist agreement) - available WW Inc Europe but excl USA (Nick's e 30.4.08),Quarterly - 45 days after each calendar quarter.,AmericanGunDogSeries02 ep8 mov https://vimeo.com/95101686 Password: Indigo2014 American Gun Dog Se2 Ep4 https://vimeo.com/103923019 Password: Indigo2014,Status 3
America's Choice,America's Choice,D0171,Factual,Strix Television AB,English,2008,3 x 45',,TRUE,FALSE,FALSE,FALSE,25/02/2010 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,32.50%,,"Term: 3 years from delivery (delivery as above date even though contract signed in 2008) wth automatic renewal of 2 yrs, then rolling 1 yr periods. Sublicensing term 5 yrs. Territory: WW excl. Sweden. Rights: All TV, Home Video, Merchandising, New Media, Ancillary, Mechandising, Theatrical, Non-Theatrical.",None,"Marketing inclusive in Commission (incl. Flyers, brochures, advertising, print materials, posters, images, web digitisation, market expenses) - anything over and above required by Producer will be payable by Producer in advance.",Option for future series is granted.,"NO M&E TRACKS and textless elements, no MCS Delivery date to Indigo 27th Oct 2008. Ready for TV4 Sweden 1st October 2008. Budget $480,000.",,From signature until 12 months after delivery of all materials - every quarter. Thereafter every 6 months.,Ep 3,Status 3
Angel Without Wings,Angel Without Wings,D0221,Factual,Fact Not Fiction Films,English,2011,"1 x 105', 1 x 52'",signed,TRUE,FALSE,FALSE,FALSE,05/02/2014 00:00,31/12/2099 00:00,31/12/2099 00:00,,TRUE,30%,,"TERM: 5 years from sig with a break at 3 years, thereafter rolling 12 monthly periods. TERRITORY: WW RIGHTS: Theatrical, Non-Theatrical, TV, Video, Digital, Ancillary, Merchandising. NB: DFT Enterprises (sister company of Producer) has right to sell the titles via physical Discs online on its website but we can sell WW (UK of course on non-excl. basis)",,Marketing incl. Tx deductable.,,,,From signature until 36 months after delivery of all materials - every quarter. Thereafter every 6 months.,,Status 3
Antony Gormley: Making Space,Antony Gormley: Making Space,D0168,Factual,Cross Street Films,English,2007,1 x 48',,TRUE,FALSE,TRUE,FALSE,24/10/2007 00:00,23/10/2012 00:00,23/10/2017 00:00,,TRUE,35% includes marketing and distribution. All TX costs are deductible from producer's share.,,"TERRITORY: Worldwide RIGHTS: Non-theatric, All TV & Video.","* Although prog under license in UK & Eire until 11th May 2010 with prod approval we can license TV rights to any broadcaster in the UK (except BBC, ITV or Channel5) from the 11th May 2009. In addition, with prod approval we are able to license TV rights to any broadcaster in Eire (except BBC, ITV or Channel5) from the 11th Nov 2008. * Prod/Channel 4 approval needed if we have to edit the prog for tx in the UK and/or Eire. * Prod/Channel 4 approval needed for any promo, mrktg or publicity activity in the UK and/or Eire.",,Break clause after 18 months and with 6 months notice. We have first right of refusal on any subsequent/related programming.,No M&E tracks Prog under license to Channel 4 in the UK & Eire until 11th May 2010. For any tx in the UK and/or Eire the prog must retain Channel 4 logo/credits,,6 monthly and within 45 days in first year and thereafter 45 days from such date in which monies are received.,Antony Gormley Making Space https://vimeo.com/95130818 Password: Indigo2014,Status 3
